ml_score,tilt,distance,label
0.00094677886,0.4402502849706326,0.0
0.0012949385,1.3051897449295105,0.0
0.010271293,1.470122822190659,0.0
4.9559036e-05,1.2653211506207664,0.0
0.00302715,1.6902474498980007,0.0
0.0019799212,0.837773987623614,0.0
0.0089654,0.6213311655927897,0.0
0.009756423,0.9635583798197552,0.0
0.016972534,0.24322976457639717,0.0
0.0010323845,0.27999130853201243,0.0
0.07667635,0.7308050141349306,0.0
0.032700706,2.071991796905865,0.0
0.0007852041,2.0312967840909297,0.0
0.17216796,2.1264933714505703,0.0
0.7627792,1.8423308136285181,0.0
0.9978928,1.954661160669901,0.0
0.9997843,1.500175945274589,0.0
0.8763152,2.07268157101566,0.0
